elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.40382986,-0.40382986,0.18,-0.04,0.3,0,1229.177717,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,174.6075588
0.396044076,-0.396044076,0.18,-0.04,0.1,0,1211.747553,65,45,44.60534634,1.977317797,0.644408678,3.11098,11.40692667,10.40692667,183.7713281
0.389669762,-0.389669762,0.18,-0.04,0.1,0,1167.177383,65,45,44.60534634,1.977317797,0.644408678,3.11098,11.40692667,10.40692667,153.7461974
0.374524869,-0.374524869,0.18,-0.04,0,0,1164.93943,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,130.3974117
0.365221231,-0.365221231,0.18,-0.04,-0.4,0,1200.517927,65,45,44.60534634,1.962200688,0.638501201,3.11098,11.40692667,10.40692667,118.0165019
0.335054445,-0.335054445,0.18,-0.04,-0.6,0,1253.26406,65,45,44.60534634,1.956218369,0.636165934,3.11098,11.40692667,10.40692667,107.6801429
0.309311969,-0.309311969,0.18,-0.04,-0.8,0,1290.031899,65,45,44.60534634,1.950272416,0.633846278,3.11098,11.40692667,10.40692667,92.23738134
0.29486845,-0.29486845,0.18,-0.04,-1.1,0,1312.413144,65,45,44.60534634,1.941420953,0.630395733,3.11098,11.40692667,10.40692667,77.70975037
0.288117243,-0.288117243,0.18,-0.04,-1.5,0,1325.251386,65,45,44.60534634,1.929743233,0.62584825,3.11098,11.40692667,10.40692667,67.80553723
0.276269527,-0.276269527,0.18,-0.04,-1.7,0,1339.712119,65,45,44.60534634,1.923956897,0.623596998,3.11098,11.40692667,10.40692667,63.82827054
0.271156543,-0.271156543,0.18,-0.04,-2,0,1358.030165,65,45,44.60534634,1.915342164,0.62024783,3.11098,11.40692667,10.40692667,65.98169017
0.277153387,-0.277153387,0.18,-0.04,-2.2,0,1408.657993,65,45,44.60534634,1.909641741,0.618033319,3.11098,11.40692667,10.40692667,80.20076262
0.284261129,-0.284261129,0.18,-0.04,-2.6,0,1441.492067,65,45,44.60534634,1.898342086,0.613647517,3.11098,11.40692667,10.40692667,95.3158882
0.313179922,-0.313179922,0.18,-0.04,-2.7,0,1480.040498,65,45,44.60534634,1.895538035,0.612559972,3.11098,11.40692667,10.40692667,121.3148989
0.335117571,-0.335117571,0.18,-0.04,-2.8,0,1478.107581,65,45,44.60534634,1.892742257,0.611475955,3.11098,11.40692667,10.40692667,211.9865477
0.356930306,-0.356930306,0.18,-0.04,-2.7,0.014265921,1500.656366,65,45,44.60534634,1.895538035,0.612559972,3.11098,11.40692667,10.40692667,273.2921648
